Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
23,Scientist,19114.12,1824.843333,3,4,3,4,Auto Loan,3,7,11.27,4,Good,809.98,26.82261962,23,No,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887,1
28,_______,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,24.46403064,33,No,18.81621457,104.2918252,Low_spent_Small_value_payments,470.6906269,1
34,_______,143162.64,12187.22,1,5,8,3,Auto Loan,5,8,7.1,3,Good,1303.01,28.61673482,26,No,246.9923195,168.4137027,!@9#%8,1043.315978,1
54,Entrepreneur,30689.89,2612.490833,2,5,4,1,Personal Loan,0,6,1.99,4,Good,632.46,26.54422872,20,No,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773,1
33,Lawyer,131313.4,11242.78333,0,1,8,2,Mortgage Loan,0,3,9.34,2,Good,352.16,32.200509,37,NM,137.6446054,378.1712535,High_spent_Medium_value_payments,858.4624744,1
23,Doctor,114838.41,9843.8675,2,5,7,5,Auto Loan,13,11,8.24,3,Good,1377.74,33.66455429,25,No,226.8927919,215.1935159,High_spent_Small_value_payments,802.3004421,1
40,Teacher,33751.27,2948.605833,5,5,20,3,Auto Loan,16,20,11,4,Standard,1328.93,37.08907565,21,NM,65.00817429,117.3066971,High_spent_Medium_value_payments,362.5457119,1
32,Engineer,88640.24,7266.686667,3,6,1,2,Payday Loan,-1,0,3.51,3,Good,950.36,28.21061721,30,No,135.173371,98.93176402,High_spent_Large_value_payments,732.5635317,1
35,Entrepreneur,54392.16,4766.68,6,4,14,3,Student Loan,10,8,5.54,3,Standard,179.22,25.64924607,26,Yes,124.3920824,243.7354374,Low_spent_Large_value_payments,378.5404802,1
36,Entrepreneur,25546.26,2415.855,8,7,14,5,Student Loan,16,14,7.83,5,Standard,758.44,37.41820917,20,NM,101.3286374,53.10459911,High_spent_Medium_value_payments,337.1522635,1
30,Scientist,31993.78,2942.148333,6,6,7,2,Home Equity Loan,8,14,6.28,0,Standard,818.22,25.36959679,16,Yes,45.14129822,81.99883506,Low_spent_Medium_value_payments,447.0747001,1
45,Teacher,32284.62,2898.385,6,7,17,6,Mortgage Loan,11,12,9.22,8,Standard,1283.37,28.94089259,11,Yes,103.0375604,254.8616151,Low_spent_Medium_value_payments,211.9393246,1
31,Lawyer,12600.445,782.0370833,5,5,10,5,Student Loan,28,19,15.79,7,Good,569.8,33.07588357,15,Yes,26.06034753,0,High_spent_Large_value_payments,284.2982045,1
48,Entrepreneur,20787.69,1999.3075,8,6,14,3,Credit-Builder Loan,22,14,1.13,3,Standard,614.6,23.72318578,17,No,42.22199266,10000,Low_spent_Small_value_payments,253.3256224,1
30,Writer,34290.12,2697.51,9,8,25,7,Mortgage Loan,52,10,17.96,9,Standard,2686.81,39.28029559,21,NM,185.1119826,248.0699573,Low_spent_Large_value_payments,106.5690601,0
40,Architect,28572.39,2210.0325,6,3,15,3,Auto Loan,25,12,4.89,0,Poor,400.07,24.42225068,33,Yes,69.60292048,42.85050715,High_spent_Large_value_payments,348.5498224,1
54,Scientist,20186.02,1684.168333,1,5,1,2,Auto Loan,5,6,6.83,4,Poor,413.32,35.94290749,21,No,29.53458372,74.21434055,Low_spent_Large_value_payments,334.6679091,1
21,Engineer,12986.745,959.22875,4,3,10,2,Mortgage Loan,30,14,11.8,5,Poor,1489.49,26.32926887,16,Yes,16.71930023,16.28671936,High_spent_Medium_value_payments,312.9168554,1
43,Writer,58317,4664.75,8,5,9,6,Mortgage Loan,18,17,16.58,6,Standard,98.97,40.41111483,14,Yes,149.8971994,109.4889496,!@9#%8,467.088851,1
19,Engineer,72559.36,6284.613333,4,5,17,4,Mortgage Loan,14,21,2.74,1,Standard,1173.7,23.28213511,28,No,215.8391706,565.7433853,Low_spent_Large_value_payments,116.8787774,1
36,Musician,15566.02,1423.168333,8,5,32,4,Mortgage Loan,16,,9.24,7,Standard,1693.95,37.40993372,7,Yes,43.0705196,65.98658552,Low_spent_Small_value_payments,323.2597282,0
18,Developer,66567.32,5800.276667,5,7,5,2,Mortgage Loan,7,15,7.67,,Standard,233.79,34.45627234,27,No,37602,251.6474222,Low_spent_Small_value_payments,518.1908835,1
21,Lawyer,148699.32,12432.61,3,4,,3,Mortgage Loan,13,8,9.2,1,Good,949.38,41.68721335,37,No,364.9151774,296.1518279,High_spent_Large_value_payments,822.1939947,1
25,Manager,49967.01,4091.9175,7,6,31,6,Student Loan,27,11,19.87,11,Standard,2253.95,28.87573769,16,Yes,156.0033117,66.93199535,High_spent_Large_value_payments,426.256443,0
14,Developer,39887.22,3224.935,9,9,16,5,Mortgage Loan,57,21,17.25,10,Poor,3119.6,30.18805936,17,Yes,133.4708452,198.9967508,Low_spent_Medium_value_payments,270.025904,0
43,Developer,14129.76,1012.48,8,5,21,8,Mortgage Loan,62,17,5.51,6,Poor,4071.62,36.1372924,19,Yes,81.71265501,124.4459203,Low_spent_Small_value_payments,185.0894247,0
16,Musician,78988.48,6449.373333,9,5,29,7,Mortgage Loan,27,17,15.27,9,Poor,1746.9,34.70500518,11,Yes,291.7827603,88.07126674,High_spent_Medium_value_payments,515.0833063,0
45,Journalist,41746.76,3651.896667,8,5,,3,Mortgage Loan,62,21,9.81,8,Poor,1936.79,37.70526076,20,Yes,102.2833975,425.1038222,Low_spent_Small_value_payments,127.8024469,0
26,Scientist,60162.1,5197.508333,5,7,5,7,Student Loan,18,10,14.79,7,Standard,1037.45,36.35924552,15,Yes,220.2137267,80.01264638,High_spent_Medium_value_payments,469.5244602,1
